SKU,Name1,Name2
ST7x520240501_125437_IM NOT DRUNK IM PASSING OUT SNACKS,I'M NOT DRUNK I'M,PASSING OUT SNACKS
ST7x520240501_125438_IM NOT DRUNK IM PASSING SNACKS AND WHOOPING ASS,I'M NOT DRUNK I'M PASSING,SNACKS AND WHOOPING ASS
ST7x520240501_125439_IM NOT DRUNK JUST AVOIDING POTHOLES,I'M NOT DRUNK JUST,AVOIDING POTHOLES
ST7x520240501_125440_SURPRISE IM DRUNK,SURPRISE,I'M DRUNK
ST7x520240501_125441_IM NOT SLURRING IM SPEAKING IN CURSIVE,I'M NOT SLURRING I'M,SPEAKING IN CURSIVE
ST7x520240501_125442_NOT DRUNK AVOIDING POTHOLES,NOT DRUNK,AVOIDING POTHOLES
ST7x520240501_125443_YOU CANT SCARE ME IM A LUNCH LADY,YOU CAN'T SCARE ME,I'M A LUNCH LADY
ST7x520240501_125444_DRUNK WIVES MATTER,DRUNK WIVES,MATTER
ST7x520240501_125446_SINKING AND DRINKING,SINKING AND,DRINKING
ST7x520240501_125447_SHUT UP LIVER YOURE FINE,SHUT UP LIVER,YOU'RE FINE
ST7x520240501_125448_MESS WITH THE HONK YOU GET THE BONK,MESS WITH THE HONK,YOU GET THE BONK
ST7x520240501_125449_ME SARCASTIC NEVER,ME?,SARCASTIC? NEVER.
ST7x520240501_125450_EVERYTHING IS FIGUREOUTABLE,EVERYTHING IS,FIGUREOUTABLE
ST7x520240501_125451_DO NO HARM TAKE NO SHIT,"DO NO HARM,",TAKE NO SHIT
ST7x520240501_125452_LIVE LAUGH LOVE,LIVE,LAUGH LOVE
ST7x520240501_125453_HANG ON LET ME OVERTHINK THIS,HANG ON. LET ME,OVERTHINK THIS.
ST7x520240501_125454_GROW THROUGH WHAT YOU GO THROUGH,GROW THROUGH WHAT,YOU GO THROUGH
ST7x520240501_125455_SHE DOESNT EVEN GO HERE,SHE DOESN'T,EVEN GO HERE
ST7x520240501_125456_IT BE LIKE THAT SOMETIMES,IT BE LIKE,THAT SOMETIMES
ST7x520240501_125457_YOU CAN DO HARD THINGS,YOU CAN DO,HARD THINGS
ST7x520240501_125458_IT IS WHAT IT IS,IT IS WHAT,IT IS
ST7x520240501_125459_FAITH IS GREATER THAN FEAR,FAITH IS,GREATER THAN FEAR
ST7x520240501_125500_IM SILENTLY JUDGING YOUR WIRING,I'M SILENTLY,JUDGING YOUR WIRING
ST7x520240501_125501_SLOW DOWN WE GET PAID BY THE HOUR,SLOW DOWN WE GET,PAID BY THE HOUR
ST7x520240501_125502_YOURE ABOUT AS USEFUL AS A WHITE CRAYON,YOU'RE ABOUT AS USEFUL,AS A WHITE CRAYON
ST7x520240501_125503_CHANGING LIVES ONE SESSION AT A TIME,CHANGING LIVES ONE,SESSION AT A TIME
ST7x520240501_125504_PRACTICE RANDOM ACTS OF KINDNESS,PRACTICE RANDOM,ACTS OF KINDNESS
ST7x520240501_125505_LAND OF THE FREE BECAUSE OF THE BRAVE,LAND OF THE FREE,BECAUSE OF THE BRAVE
ST7x520240501_125506_DEMAND EVIDENCE THINK CRITICALLY,DEMAND EVIDENCE,THINK CRITICALLY
ST7x520240501_125507_PLEASE BE PATIENT I HAVE AUTISM,PLEASE BE PATIENT,I HAVE AUTISM
ST7x520240501_125508_I AM DELIBERATE AND AFRAID OF NOTHING,I AM DELIBERATE AND,AFRAID OF NOTHING
ST7x520240501_125509_MAKE HEAVEN CROWDED,MAKE HEAVEN,CROWDED
ST7x520240501_125510_FAKE IT TILL YOU MAKE IT,FAKE IT TILL,YOU MAKE IT
ST7x520240501_125511_ASK ME ABOUT MY EXPLOSIVE DIARRHEA,ASK ME ABOUT MY,EXPLOSIVE DIARRHEA
ST7x520240501_125512_HONK IF YOU HATE BIDEN,HONK IF YOU,HATE BIDEN
ST7x520240501_125513_DID YOU TOUCH MY DRUM SET,DID YOU TOUCH,MY DRUM SET?
ST7x520240501_125514_DONT HONK AT ME MY DADS IS DEAD,DON'T HONK AT ME,MY DADS IS DEAD
ST7x520240501_125515_THIS MACHINE KILLS FASCISTS,THIS MACHINE,KILLS FASCISTS
ST7x520240501_125516_DONT MAKE ME USE MY LIFEGUARD VOICE,DON'T MAKE ME USE MY,LIFEGUARD VOICE!
ST7x520240501_125517_DONT HONK AT ME IM JUST A LITTLE GUY,DON'T HONK AT ME I'M,JUST A LITTLE GUY
ST7x520240501_125518_EARL IS IN THE TRUNK,EARL IS IN,THE TRUNK
ST7x520240501_125519_COWBOYS BUTTS DRIVE ME NUTS,COWBOYS BUTTS,DRIVE ME NUTS
ST7x520240501_125520_YOU JUST GOT PASSED BY A TOASTER,YOU JUST GOT,PASSED BY A TOASTER
ST7x520240501_125521_RELAX NOTHING IS UNDER CONTROL,RELAX NOTHING IS,UNDER CONTROL
ST7x520240501_125522_I BRAKE FOR AMERICAS ONLY NATIVE MARSUPIAL,I BRAKE FOR AMERICA'S,ONLY NATIVE MARSUPIAL
ST7x520240501_125523_WHAT ARE YOU GRATEFUL FOR,WHAT ARE YOU,GRATEFUL FOR?
ST7x520240501_125524_WAG MORE BARK LESS,WAG MORE,BARK LESS
ST7x520240501_125525_MY EMOTIONAL SUPPORT BEVERAGE,MY EMOTIONAL,SUPPORT BEVERAGE
ST7x520240501_125526_HONK IF YOURE A SILLY GOOSE,HONK IF YOU'RE A,SILLY GOOSE
