SKU,Name1,Name2
ST7x520240501_201117_KEEP YOUR FRIENDS CLOSE BUT YOUR ENEMIES CLOSER,KEEP YOUR FRIENDS CLOSE,BUT YOUR ENEMIES CLOSER
ST7x520240501_201118_DONT MAKE ME USE MY HACKER VOICE,DON'T MAKE ME USE,MY HACKER VOICE
ST7x520240501_201119_WORLDS OKAYEST RESPIRATORY THERAPIST,WORLD'S OKAYEST,RESPIRATORY THERAPIST
ST7x520240501_201120_JUST A BOY WHO LOVES BUNNIES,JUST A BOY WHO,LOVES BUNNIES
ST7x520240501_201121_YOU JUST GOT PASSED BY A PRETTY GIRL,YOU JUST GOT PASSED,BY A PRETTY GIRL
ST7x520240501_201122_DONT MAKE ME USE MY MOM VOICE,DON'T MAKE ME USE,MY MOM VOICE
ST7x520240501_201123_PLEASE BE PATIENT DONT KNOW MY RIGHTS AND LEFTS,PLEASE BE PATIENT DON'T,KNOW MY RIGHTS AND LEFTS
ST7x520240501_201124_SORRY IM LATE I DIDNT WANT TO COME,SORRY I'M LATE I,DIDN'T WANT TO COME
ST7x520240501_201125_HONK IF YOU LOVE YOURSELF,HONK IF YOU,LOVE YOURSELF
ST7x520240501_201126_PLEASE BE PATIENT I AM 8 YEARS OLD,PLEASE BE PATIENT I,AM 8 YEARS OLD
ST7x520240501_201127_JUST A GIRL WHO LOVES EVERYBUNNY,JUST A GIRL WHO,LOVES EVERYBUNNY
ST7x520240501_201128_WORLDS OKAYEST LOSS PREVENTION MANAGER,WORLD'S OKAYEST LOSS,PREVENTION MANAGER
ST7x520240501_201129_DONT HONK AT ME I WILL CRY,DON'T HONK AT,ME I WILL CRY
ST7x520240501_201130_THE BEST IS YET TO COME,THE BEST IS,YET TO COME
ST7x520240501_201131_IT REALLY DO BE LIKE THAT SOMETIMES,IT REALLY DO BE,LIKE THAT SOMETIMES
ST7x520240501_201132_WORLDS OKAYEST FIRMWARE ENGINEER,WORLD'S OKAYEST,FIRMWARE ENGINEER
ST7x520240501_201133_IM AN ACCOUNTANT NOT A MAGICIAN,"I'M AN ACCOUNTANT,",NOT A MAGICIAN
ST7x520240501_201134_TEAMWORK MAKES THE DREAM WORK,TEAMWORK MAKES,THE DREAM WORK
ST7x520240501_201135_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
ST7x520240501_201136_I JUST DONT CARE,I JUST,DONT CARE
ST7x520240501_201137_DO NO HARM TAKE NO SHIT,DO NO HARM,TAKE NO SHIT
ST7x520240501_201138_DONT MAKE ME USE MY VOICE,DON'T MAKE ME,USE MY VOICE
ST7x520240501_201139_HONK IF YOU LOVE LOUD NOISES,HONK IF YOU LOVE,LOUD NOISES
ST7x520240501_201140_THINK ITS NOT ILLEGAL YET,THINK IT'S NOT,ILLEGAL YET
ST7x520240501_201141_JUST A BOY WHO LOVE CHESS,JUST A BOY WHO,LOVE CHESS
ST7x520240501_201142_YOU CAN NEVER HAVE TOO MANY HANDBAGS,YOU CAN NEVER HAVE,TOO MANY HANDBAGS
ST7x520240501_201143_IM NOT INTERESTED IN BEING POLITE OR HETEROSEXUAL,I'M NOT INTERESTED IN BEING,POLITE OR HETEROSEXUAL
ST7x520240501_201144_BUT MY MOM SAYS I'M COOL,BUT MY MOM SAYS,I'M COOL
ST7x520240501_201145_THIS IS GOING INSANE,THIS IS,GOING INSANE
ST7x520240501_201146_WHAT IF I FALL WHAT IF YOU FLY,WHAT IF I FALL?,WHAT IF YOU FLY!
ST7x520240501_201147_JUST A GIRL WHO LOVES BOXING,JUST A GIRL WHO,LOVES BOXING
