SKU,Name1,Name2
ST20240510_204202_CERTIFIED SILLY GOOSE,CERTIFIED,SILLY GOOSE
ST20240510_204203_I CHOOSE VIOLENCE,I CHOOSE,VIOLENCE
ST20240510_204204_BURNT OUT BUT OPTIMISTIC,BURNT OUT, BUT OPTIMISTIC
ST20240510_204205_BE GAY DO CRIME,BE GAY, DO CRIME
ST20240510_204206_SILLY GOOSE ON THE LOOSE,SILLY GOOSE, ON THE LOOSE
ST20240510_204207_MESS WITH THE HONK YOU GET THE BONK,MESS WITH THE HONK,YOU GET THE BONK
ST20240510_204208_SILLY GOOSE ON BOARD,SILLY GOOSE,ON BOARD
ST20240510_204209_A SILLY GOOSE DRIVES THIS CAR,A SILLY GOOSE,DRIVES THIS CAR
ST20240510_204210_SILLY GOOSE,SILLY,GOOSE
ST20240510_204211_TODAY I AM A SERIOUS GOOSE,TODAY I AM, A SERIOUS GOOSE
ST20240510_204212_HONK HONK,HONK,HONK
ST20240510_204213_GOOSE BUMP,GOOSE,BUMP
ST20240510_204214_PEACE WAS NEVER AN OPTION,PEACE WAS,NEVER AN OPTION
ST20240510_204215_REMEMBER KIDS ELECTRICITY WILL KILL YOU,REMEMBER KIDS,ELECTRICITY WILL KILL YOU
ST20240510_204216_BECOME UNGOVERNABLE,BECOME,UNGOVERNABLE
ST20240510_204217_IF IT FLIES IT DIES,IF IT FLIES,IT DIES
ST20240510_204218_LETS GET THIS BREAD,LET'S GET,THIS BREAD
ST20240510_204219_I THINK I WILL CAUSE PROBLEMS ON PURPOSE,I THINK I WILL, CAUSE PROBLEMS ON PURPOSE
ST20240510_204220_THROW BREAD ON ME,THROW BREAD, ON ME
ST20240510_204221_I BRAKE FOR GEESE,I BRAKE,FOR GEESE
ST20240510_204222_IM NOT FOR EVERYONE,I'M NOT, FOR EVERYONE
ST20240510_204223_I IDENTIFY AS A PROBLEM,I IDENTIFY, AS A PROBLEM
ST20240510_204224_IT GETS WORSE BEFORE IT GETS WORSE,IT GETS WORSE,BEFORE IT GETS WORSE
ST20240510_204225_NOBODY KNOWS IM GAY,NOBODY KNOWS,I'M GAY
ST20240510_204226_THE BEST MOM EVER,THE BEST,MOM EVER
ST20240510_204227_WORLDS BEST MOM,WORLD'S,BEST MOM
ST20240510_204228_HONK IF YOU LOVE GEESE,HONK IF YOU,LOVE GEESE
