SKU,Name1,Name2
ST20240511_121211_RESCUE ALL THE DOGS,RESCUE ALL,THE DOGS
ST20240511_121212_IN CASE OF EMERGENCY PLEASE RESCUE MY DOGS,IN CASE OF EMERGENCY,PLEASE RESCUE MY DOGS
ST20240511_121213_IN CASE OF EMERGENCY PLEASE RESCUE MY PETS,IN CASE OF EMERGENCY,PLEASE RESCUE MY PETS
ST20240511_121214_IN CASE OF EMERGENCY PLEASE SAVE MY PETS,IN CASE OF EMERGENCY,PLEASE SAVE MY PETS
ST20240511_121215_RESCUE ALL THE CATS,RESCUE ALL,THE CATS
ST20240511_121216_WE RESCUED EACH OTHER,WE RESCUED,EACH OTHER
ST20240511_121217_PROUD RESCUE DOG MOM,PROUD RESCUE,DOG MOM
ST20240511_121218_SAVE A LIFE ADOPT A DOG,SAVE A LIFE,ADOPT A DOG
ST20240511_121219_PET ALERT PLEASE SAVE MY PETS,PET ALERT PLEASE,SAVE MY PETS
ST20240511_121220_ADOPT DON'T SHOP,ADOPT,DON'T SHOP
ST20240511_121221_SAVE A LIFE ADOPT A SHELTER PET,SAVE A LIFE ADOPT,A SHELTER PET
ST20240511_121222_RESCUED IS MY FAVORITE BREED,RESCUED IS MY,FAVORITE BREED
ST20240511_121223_DOG MOM,DOG,MOM
ST20240511_121224_IM HERE TO PET ALL THE DOGS,I'M HERE TO PET,ALL THE DOGS
ST20240511_121225_IT WAS ME I LET THE DOGS OUT,IT WAS ME I LET,THE DOGS OUT
ST20240511_121226_LIFE IS BETTER WITH A DOG,LIFE IS BETTER,WITH A DOG
ST20240511_121227_I WORK HARD SO MY DOGS CAN HAVE A BETTER LIFE,I WORK HARD SO MY DOGS,CAN HAVE A BETTER LIFE
ST20240511_121228_PAWS TO ENJOY LIFE,PAWS TO,ENJOY LIFE
ST20240511_121229_MY KIDS HAVE PAWS,MY KIDS,HAVE PAWS
ST20240511_121230_I LOVE MY RESCUE DOG,I LOVE MY,RESCUE DOG
ST20240511_121231_DOGS WELCOME PEOPLE TOLERATED,DOGS WELCOME,PEOPLE TOLERATED
ST20240511_121232_TELL YOUR DOG I SAID HI,TELL YOUR DOG,I SAID HI!
ST20240511_121233_MY WINDOWS ARENT DIRTY THATS MY DOGS NOSE ART,MY WINDOWS AREN'T DIRTY,THAT'S MY DOG'S NOSE ART
ST20240511_121234_DOGS BECAUSE PEOPLE SUCK,DOGS BECAUSE,PEOPLE SUCK
ST20240511_121235_DOG MOM DOG DAD,DOG MOM,DOG DAD
