SKU,Name1,Name2
ST20240511_215048_I LIKE CATS AND MAYBE 3 PEOPLE,I LIKE CATS AND,MAYBE 3 PEOPLE
ST20240511_215049_CAT ON BOARD,CAT ON,BOARD
ST20240511_215050_SERVICE CAT ON BOARD,SERVICE CAT,ON BOARD
ST20240511_215051_A HOUSE IS NOT A HOME WITHOUT A CAT,A HOUSE IS NOT A,HOME WITHOUT A CAT
ST20240511_215052_CAT IS NOT SPOILED IM JUST WELL TRAINED,CAT IS NOT SPOILED I'M,JUST WELL TRAINED
ST20240511_215053_CATS MAKE ME HAPPY PEOPLE NOT SO MUCH,CATS MAKE ME HAPPY!,"PEOPLE, NOT SO MUCH."
ST20240511_215054_CATS MAKE ME HAPPY YOU NOT SO MUCH,CATS MAKE ME HAPPY!,"YOU, NOT SO MUCH."
ST20240511_215055_IF MY CAT DOESNT LIKE YOU NEITHER DO I,IF MY CAT DOESN'T,LIKE YOU NEITHER DO I
ST20240511_215056_CATS MAKE ME HAPPY HUMANS MAKE MY HEAD HURT,CATS MAKE ME HAPPY,HUMANS MAKE MY HEAD HURT
ST20240511_215058_HOLD ON I SEE A CAT,HOLD ON I,SEE A CAT
ST20240511_215059_BE THE PERSON YOUR CAT THINKS YOU ARE,BE THE PERSON YOUR,CAT THINKS YOU ARE
ST20240511_215100_IF YOURE NOT THE LEAD CAT THE VIEW NEVER CHANGES,IF YOU'RE NOT THE LEAD CAT,THE VIEW NEVER CHANGES
ST20240511_215101_MY CATS AND I TALK SHIT ABOUT YOU,MY CATS AND I TALK,SHIT ABOUT YOU
ST20240511_215102_SPOILED CAT ON BOARD,SPOILED CAT,ON BOARD
ST20240511_215103_ALL I NEED IS COFFEE AND MY CAT,ALL I NEED IS,COFFEE AND MY CAT
ST20240511_215104_TELL YOUR CAT I SAID PSPSPS,TELL YOUR CAT I,SAID PSPSPS
ST20240511_215105_LIFE IS MEANINGLESS AND EVERYTHING DIES,LIFE IS MEANINGLESS,AND EVERYTHING DIES
ST20240511_215106_JUDGING YOU SILENTLY,JUDGING YOU,SILENTLY
ST20240511_215107_I LOVE MY CAT,I LOVE,MY CAT
ST20240511_215108_I LOVE CATS IT IS PEOPLE ANNOY ME,I LOVE CATS. IT IS,PEOPLE ANNOY ME
ST20240511_215109_CATS ARE MY FAVORITE PEOPLE,CATS ARE MY,FAVORITE PEOPLE
ST20240511_215110_I LOVE MY ROTTEN UNGRATEFUL CAT,"I LOVE MY ROTTEN,",UNGRATEFUL CAT
ST20240511_215111_IM SORRY DID I JUST ROLL MY EYES OUT LOUD,I'M SORRY DID I JUST,ROLL MY EYES OUT LOUD
ST20240511_215112_MY CAT IS DEMOCRAT,MY CAT IS,DEMOCRAT
ST20240511_215113_REAL MEN LOVE CATS,REAL MEN,LOVE CATS
ST20240511_215114_LOVE IS A FOUR LEGGED WORD,LOVE IS A FOUR,LEGGED WORD
ST20240511_215115_MOTHER OF CATS,MOTHER OF,CATS
ST20240511_215116_PLEASE DONT LET THE CATS OUT NO MATTER WHAT THEY TELL YOU,PLEASE DON'T LET THE CATS OUT,NO MATTER WHAT THEY TELL YOU
ST20240511_215117_IN CASE OF FIRE PLEASE SAVE OUR CAT,IN CASE OF FIRE,PLEASE SAVE OUR CAT
ST20240511_215118_I WAS NORMAL THREE CATS AGO,I WAS NORMAL,THREE CATS AGO
ST20240511_215119_I LOVE MY FAT CAT,I LOVE MY,FAT CAT
ST20240511_215120_SORRY FOR SPEEDING I HAVE TO GET HOME TO MY CAT,"SORRY FOR SPEEDING, I HAVE",TO GET HOME TO MY CAT
ST20240511_215121_SORRY I HAVE PLANS WITH MY CAT,"SORRY, I HAVE",PLANS WITH MY CAT
ST20240511_215122_SORRY IM LATE MY CAT WAS SITTING ON ME,SORRY I'M LATE MY CAT,WAS SITTING ON ME
ST20240511_215123_SORRY FOR SPEEDING BUT MY CAT IS AT HOME ALONE,SORRY FOR SPEEDING BUT MY,CAT IS AT HOME ALONE
ST20240511_215124_TRYING TO GET MY SHIT TOGETHER,TRYING TO GET MY,SHIT TOGETHER
ST20240511_215125_AT LEAST MY CAT LOVES ME,AT LEAST MY,CAT LOVES ME
ST20240511_215126_CATS MAKE ME HAPPY HUMANS MY HEAD HURT,CATS MAKE ME HAPPY,HUMANS MY HEAD HURT
