SKU,Name1,Name2
ST20240512_075431_I BRAKE FOR ANIMALS,I BRAKE FOR,ANIMALS
ST20240512_075432_I BRAKE FOR POSSUMS,I BRAKE FOR,POSSUMS
ST20240512_075433_I BRAKE FOR AMERICAS ONLY NATIVE MARSUPIAL,I BRAKE FOR AMERICA'S,ONLY NATIVE MARSUPIAL
ST20240512_075434_EAT FAST LIVE TRASH,EAT FAST,LIVE TRASH
ST20240512_075435_ITS CALLED TRASH CAN NOT TRASH CANT,IT'S CALLED TRASH,CAN NOT TRASH CAN'T
ST20240512_075436_DONT BE A PART OF THE PROBLEM BE THE WHOLE PROBLEM,DON'T BE A PART OF THE,PROBLEM BE THE WHOLE PROBLEM
ST20240512_075437_EMBRACE THE CHAOS,EMBRACE,THE CHAOS
ST20240512_075438_I CAN SHOW YOU SOME TRASH,I CAN SHOW YOU,SOME TRASH
ST20240512_075439_YOUVE YEED YOUR LAST HAW PARTNER,YOU'VE YEE'D YOUR,LAST HAW PARTNER
ST20240512_075440_HANG IN THERE IT GET WORSE,HANG IN THERE,IT GET WORSE
ST20240512_075441_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20240512_075442_I AM VERY STRESSED,I AM VERY,STRESSED
ST20240512_075443_THE HELL I WONT,THE HELL I,WON'T
ST20240512_075444_MY OTHER CAR IS A SLED PULLED BY 58 POSSUMS,MY OTHER CAR IS A SLED,PULLED BY 58 POSSUMS
ST20240512_075445_DONT HONK AT ME ILL CRY,DON'T HONK AT,ME I'LL CRY
ST20240512_075446_LIVE UGLY FAKE YOUR DEATH,LIVE UGLY FAKE,YOUR DEATH
ST20240512_075447_WARNING DRIVER IS FERAL,WARNING,DRIVER IS FERAL
ST20240512_075448_SURVIVING PURELY OUT OF SPITE,SURVIVING PURELY,OUT OF SPITE
ST20240512_075449_GOD IS TESTING ME AND I HAVE NOT STUDIED,GOD IS TESTING ME AND,I HAVE NOT STUDIED
