SKU,Name1,Name2
ST20240512_094312_SILLY GOOSE,SILLY,GOOSE
ST20240512_094313_TODAY I AM A SERIOUS GOOSE,TODAY I AM A,SERIOUS GOOSE
ST20240512_094314_HONK HONK,HONK,HONK
ST20240512_094315_GOOSE BUMP,GOOSE,BUMP
ST20240512_094316_PEACE WAS NEVER AN OPTION,PEACE WAS,NEVER AN OPTION
ST20240512_094317_REMEMBER KIDS ELECTRICITY WILL KILL YOU,REMEMBER KIDS,ELECTRICITY WILL KILL YOU
ST20240512_094318_BECOME UNGOVERNABLE,BECOME,UNGOVERNABLE
ST20240512_094319_IF IT FLIES IT DIES,IF IT FLIES,IT DIES
ST20240512_094320_LETS GET THIS BREAD,LET'S GET,THIS BREAD
ST20240512_094321_I THINK I WILL CAUSE PROBLEMS ON PURPOSE,I THINK I WILL CAUSE,PROBLEMS ON PURPOSE
ST20240512_094322_THROW BREAD ON ME,THROW,BREAD ON ME
ST20240512_094323_I BRAKE FOR GEESE,I BRAKE,FOR GEESE
ST20240512_094324_IM NOT FOR EVERYONE,I'M NOT FOR,EVERYONE
ST20240512_094325_I IDENTIFY AS A PROBLEM,I IDENTIFY AS,A PROBLEM
ST20240512_094326_IT GETS WORSE BEFORE IT GETS WORSE,IT GETS WORSE,BEFORE IT GETS WORSE
ST20240512_094327_NOBODY KNOWS IM GAY,NOBODY KNOWS,I'M GAY
ST20240512_094328_THE BEST MOM EVER,THE BEST,MOM EVER
ST20240512_094329_WORLDS BEST MOM,WORLD'S,BEST MOM
ST20240512_094330_HONK IF YOU LOVE GEESE,HONK IF YOU,LOVE GEESE
