SKU,Name1,Name2
ST20240513_202451_THIS TINY TURTLE HE JUDGES YOU IMMENSELY,THIS TINY TURTLE HE,JUDGES YOU IMMENSELY
ST20240513_202452_I SLOW DOWN FOR TAILGATERS,I SLOW DOWN FOR,TAILGATERS
ST20240513_202453_THINK THIS IS SLOW WAIT UNTIL I GO UPHILL,THINK THIS IS SLOW,WAIT UNTIL I GO UPHILL
ST20240513_202454_PLEASE DO NOT TAILGATE,PLEASE DO NOT,TAILGATE
ST20240513_202455_TAILGATING IS SMALL DICK BEHAVIOR,TAILGATING IS,SMALL DICK BEHAVIOR
ST20240513_202456_HIT ME I NEED THE MONEY,HIT ME I NEED,THE MONEY
ST20240513_202457_FEEL FREE TO PASS ME,FEEL FREE TO,PASS ME
ST20240513_202458_YES I SEE YOU NO I WONT SPEED UP,YES I SEE YOU! NO I,WON'T SPEED UP!
ST20240513_202459_DONT FORGET TO SMILE,DON'T FORGET,TO SMILE
ST20240513_202500_I BRAKE FOR TURTLES,I BRAKE FOR,TURTLES
ST20240513_202501_IM NOT SLOW YOURE JUST IMPATIENT,I'M NOT SLOW YOU'RE,JUST IMPATIENT
ST20240513_202502_MOVING AS FAST AS I CAN,MOVING AS,FAST AS I CAN
ST20240513_202503_YOUR SPEED DOESNT MATTER FORWARD IS FORWARD,YOUR SPEED DOESN'T,MATTER FORWARD IS FORWARD
ST20240513_202504_YOU ARE TURTLEY AWESOME,YOU ARE,TURTLEY AWESOME
ST20240513_202505_KEEP GOING,KEEP,GOING
ST20240513_202506_LIVING THE SLOW LIFE,LIVING THE,SLOW LIFE
ST20240513_202507_SAVE THE TURTLES,SAVE THE,TURTLES!
ST20240513_202508_I LOVE MY TURTLE,I LOVE MY,TURTLE
