SKU,Name1,Name2
ST20240514_184035_I EXIST WITHOUT MY CONSENT,I EXIST WITHOUT,MY CONSENT
ST20240514_184036_WHEN DOES THE PAIN END,WHEN DOES THE,PAIN END?
ST20240514_184037_EXISTENCE IS PAIN,EXISTENCE,IS PAIN
ST20240514_184038_PAIN IS TEMPORARY QUITTING LASTS FOREVER,"PAIN IS TEMPORARY,",QUITTING LASTS FOREVER
ST20240514_184039_HYDRATE OR DIEDRATE,HYDRATE OR,DIEDRATE
ST20240514_184040_BE GAY DO CRIME,BE GAY DO,CRIME
ST20240514_184041_USE YOUR BLINKERS,USE YOUR,BLINKERS
ST20240514_184042_USE TURN SIGNALS NOT TELEPATHY,USE TURN SIGNALS,NOT TELEPATHY
ST20240514_184043_DONT BE A STINKER USE YOUR BLINKER,DON'T BE A STINKER,USE YOUR BLINKER
ST20240514_184044_USE YOUR BLINKER BESTIE,USE YOUR,BLINKER BESTIE
ST20240514_184045_I HAVE NO IDEA WHAT IM DOING,I HAVE NO IDEA,WHAT I'M DOING
ST20240514_184046_I STOP FOR FROGS,I STOP FOR,FROGS
ST20240514_184047_YOU JUST GOT PASSED BY A BAD DRIVER,YOU JUST GOT PASSED,BY A BAD DRIVER!
ST20240514_184048_FROGS RELY ON GOD,F.R.O.G.S,RELY ON GOD
ST20240514_184049_SPOILED FROG ON BOARD,SPOILED FROG,ON BOARD
ST20240514_184050_FROG ON BOARD,FROG ON,BOARD
ST20240514_184051_WHY HELLO SWEET CHEEKS HAVE A SEAT,WHY HELLO SWEET,CHEEKS HAVE A SEAT
ST20240514_184052_YOUVE YEED YOUR LAST HAW PARTNER,YOU'VE YEE'D YOUR,LAST HAW PARTNER
