SKU,Name1,Name2
ST20240514_222625_EAT THE RICH,EAT THE,RICH
ST20240514_222626_MAN I LOVE FROGS,MILF MAN, I LOVE FROGS
ST20240514_222627_DO WHAT MAKES YOU HAPPY,DO WHAT MAKES,YOU HAPPY
ST20240514_222628_JUST A GIRL WHO LOVES FROGS,JUST A GIRL WHO,LOVES FROGS
ST20240514_222629_I EXIST WITHOUT MY CONSENT,I EXIST WITHOUT,MY CONSENT
ST20240514_222630_WHEN DOES THE PAIN END,WHEN DOES THE,PAIN END?
ST20240514_222631_EXISTENCE IS PAIN,EXISTENCE,IS PAIN
ST20240514_222632_PAIN IS TEMPORARY QUITTING LASTS FOREVER,"PAIN IS TEMPORARY,",QUITTING LASTS FOREVER
ST20240514_222633_HYDRATE OR DIEDRATE,HYDRATE OR,DIEDRATE
ST20240514_222634_BE GAY DO CRIME,BE GAY DO,CRIME
ST20240514_222635_USE YOUR BLINKERS,USE YOUR,BLINKERS
ST20240514_222636_USE TURN SIGNALS NOT TELEPATHY,USE TURN SIGNALS,NOT TELEPATHY
ST20240514_222637_DONT BE A STINKER USE YOUR BLINKER,DON'T BE A STINKER,USE YOUR BLINKER
ST20240514_222638_USE YOUR BLINKER BESTIE,USE YOUR,BLINKER BESTIE
ST20240514_222639_I HAVE NO IDEA WHAT IM DOING,I HAVE NO IDEA,WHAT I'M DOING
ST20240514_222640_I STOP FOR FROGS,I STOP FOR,FROGS
ST20240514_222641_YOU JUST GOT PASSED BY A BAD DRIVER,YOU JUST GOT PASSED,BY A BAD DRIVER!
ST20240514_222642_FROGS RELY ON GOD,F.R.O.G.S,RELY ON GOD
ST20240514_222643_SPOILED FROG ON BOARD,SPOILED FROG,ON BOARD
ST20240514_222644_FROG ON BOARD,FROG ON,BOARD
ST20240514_222645_WHY HELLO SWEET CHEEKS HAVE A SEAT,WHY HELLO SWEET,CHEEKS HAVE A SEAT
ST20240514_222646_YOUVE YEED YOUR LAST HAW PARTNER,YOU'VE YEE'D YOUR,LAST HAW PARTNER
