SKU,Name1,Name2
ST20240515_222209_THIS TINY TURTLE HE JUDGES YOU IMMENSELY,THIS TINY TURTLE HE,JUDGES YOU IMMENSELY
ST20240515_222210_I SLOW DOWN FOR TAILGATERS,I SLOW DOWN FOR,TAILGATERS
ST20240515_222211_THINK THIS IS SLOW WAIT UNTIL I GO UPHILL,THINK THIS IS SLOW,WAIT UNTIL I GO UPHILL
ST20240515_222212_PLEASE DO NOT TAILGATE,PLEASE DO NOT,TAILGATE
ST20240515_222213_TAILGATING IS SMALL DICK BEHAVIOR,TAILGATING IS,SMALL DICK BEHAVIOR
ST20240515_222214_HIT ME I NEED THE MONEY,HIT ME I NEED,THE MONEY
ST20240515_222215_FEEL FREE TO PASS ME,FEEL FREE TO,PASS ME
ST20240515_222216_YES I SEE YOU NO I WONT SPEED UP,YES I SEE YOU! NO I,WON'T SPEED UP!
ST20240515_222217_DONT FORGET TO SMILE,DON'T FORGET,TO SMILE
ST20240515_222218_I BRAKE FOR TURTLES,I BRAKE FOR,TURTLES
ST20240515_222219_IM NOT SLOW YOURE JUST IMPATIENT,I'M NOT SLOW YOU'RE,JUST IMPATIENT
ST20240515_222220_MOVING AS FAST AS I CAN,MOVING AS,FAST AS I CAN
ST20240515_222221_YOUR SPEED DOESNT MATTER FORWARD IS FORWARD,YOUR SPEED DOESN'T,MATTER FORWARD IS FORWARD
ST20240515_222222_YOU ARE TURTLEY AWESOME,YOU ARE,TURTLEY AWESOME
ST20240515_222223_KEEP GOING,KEEP,GOING
ST20240515_222224_LIVING THE SLOW LIFE,LIVING THE,SLOW LIFE
ST20240515_222225_SAVE THE TURTLES,SAVE THE,TURTLES!
ST20240515_222226_I LOVE MY TURTLE,I LOVE MY,TURTLE
