SKU,Name1,Name2
ST20240522_203119_WHEN TYRANNY BECOMES LAW REBELLION BECOMES DUTY,"WHEN TYRANNY BECOMES LAW,",REBELLION BECOMES DUTY
ST20240522_203120_WHEN INJUSTICE BECOMES LAW RESISTANCE BECOMES DUTY,WHEN INJUSTICE BECOMES LAW,RESISTANCE BECOMES DUTY
ST20240522_203121_BEWARE FOR I AM FEARLESS AND THEREFORE POWERFUL,BEWARE FOR I AM FEARLESS,AND THEREFORE POWERFUL
ST20240522_203122_BE STRONG BE BRAVE BE FEARLESS NEVER ALONE,"BE STRONG, BE BRAVE, BE","FEARLESS, NEVER ALONE"
ST20240522_203123_BE FEARLESS IN THE PURSUIT OF WHAT SETS YOUR SOUL ON FIRE,BE FEARLESS IN THE PURSUIT OF,WHAT SETS YOUR SOUL ON FIRE
ST20240522_203124_ITS DANGEROUS THATS WHY I LIKE IT,IT'S DANGEROUS,THAT'S WHY I LIKE IT
ST20240522_203125_RIDE IT LIKE YOU STOLE IT,RIDE IT LIKE,YOU STOLE IT!
ST20240522_203126_DRIVE IT LIKE YOU STOLE IT,DRIVE IT LIKE,YOU STOLE IT !
ST20240522_203127_THINK ITS NOT ILLEGAL YET,THINK! IT'S NOT,ILLEGAL YET
ST20240522_203128_I PREFER DANGEROUS LIBERTY TO PEACEFUL SERVITUDE,I PREFER DANGEROUS LIBERTY,TO PEACEFUL SERVITUDE
ST20240522_203129_I MAY NOT GO DOWN IN HISTORY BUT I WILL GO DOWN ON YOUR SISTER,I MAY NOT GO DOWN IN HISTORY BUT,I WILL GO DOWN ON YOUR SISTER
ST20240522_203130_THE TIME IS ALWAYS RIGHT TO DO WHATS RIGHT,THE TIME IS ALWAYS,RIGHT TO DO WHAT'S RIGHT
ST20240522_203131_ALL GAVE SOME SOME GAVE ALL,ALL GAVE SOME,SOME GAVE ALL
ST20240522_203132_WILL TRADE RACISTS FOR REFUGEES,WILL TRADE,RACISTS FOR REFUGEES
ST20240522_203133_WE ARE ALL IMMIGRANTS,WE ARE ALL,IMMIGRANTS
ST20240522_203134_MAKE YOURSELF A SHEEP AND THE WOLVES WILL EAT YOU,MAKE YOURSELF A SHEEP AND,THE WOLVES WILL EAT YOU
ST20240522_203135_THOSE WHO ACT LIKE SHEEP WILL BE EATEN BY WOLVES,THOSE WHO ACT LIKE SHEEP,WILL BE EATEN BY WOLVES
ST20240522_203136_THROW ME TO THE WOLVES AND I WILL RETURN LEADING THE PACK,THROW ME TO THE WOLVES AND I,WILL RETURN LEADING THE PACK
ST20240522_203137_THE WOLF DOESNT LOSE SLEEP OVER THE OPINIONS OF SHEEP,THE WOLF DOESN'T LOSE SLEEP,OVER THE OPINIONS OF SHEEP
ST20240522_203138_THE ONLY THING WE HAVE TO FEAR IS FEAR ITSELF,THE ONLY THING WE HAVE,TO FEAR IS FEAR ITSELF
ST20240522_203139_OH CRAP THATS DUE TOMORROW,OH CRAP THAT'S,DUE TOMORROW?
ST20240522_203140_IMPOSSIBLE TO GOVERN WITHOUT GOD AND THE BIBLE,IMPOSSIBLE TO GOVERN,WITHOUT GOD AND THE BIBLE
ST20240522_203141_LOVE ALL TRUST A FEW DO WRONG TO NONE,"LOVE ALL, TRUST A","FEW, DO WRONG TO NONE"
