SKU,Name1,Name2
ST20240525_131826_IM NOT DRUNK IM PASSING SNACKS AND WHOOPING ASS,I'M NOT DRUNK I'M PASSING,SNACKS AND WHOOPING ASS
ST20240525_131827_IM NOT DRUNK JUST AVOIDING POTHOLES,I'M NOT DRUNK JUST,AVOIDING POTHOLES
ST20240525_131828_SURPRISE IM DRUNK,SURPRISE,I'M DRUNK
ST20240525_131829_IM NOT SLURRING IM SPEAKING IN CURSIVE,I'M NOT SLURRING I'M,SPEAKING IN CURSIVE
ST20240525_131830_NOT DRUNK AVOIDING POTHOLES,NOT DRUNK,AVOIDING POTHOLES
ST20240525_131831_YOU CANT SCARE ME IM A LUNCH LADY,YOU CAN'T SCARE ME,I'M A LUNCH LADY
ST20240525_131832_DRUNK WIVES MATTER,DRUNK WIVES,MATTER
ST20240525_131833_SINKING AND DRINKING,SINKING AND,DRINKING
ST20240525_131834_SHUT UP LIVER YOURE FINE,SHUT UP LIVER,YOU'RE FINE
ST20240525_131835_MESS WITH THE HONK YOU GET THE BONK,MESS WITH THE HONK,YOU GET THE BONK
ST20240525_131836_ME SARCASTIC NEVER,ME?,SARCASTIC? NEVER.
ST20240525_131837_EVERYTHING IS FIGUREOUTABLE,EVERYTHING IS,FIGUREOUTABLE
ST20240525_131838_DO NO HARM TAKE NO SHIT,"DO NO HARM,",TAKE NO SHIT
ST20240525_131839_LIVE LAUGH LOVE,LIVE,LAUGH LOVE
ST20240525_131840_HANG ON LET ME OVERTHINK THIS,HANG ON. LET ME,OVERTHINK THIS.
ST20240525_131841_GROW THROUGH WHAT YOU GO THROUGH,GROW THROUGH WHAT,YOU GO THROUGH
ST20240525_131842_SHE DOESNT EVEN GO HERE,SHE DOESN'T,EVEN GO HERE
ST20240525_131843_IT BE LIKE THAT SOMETIMES,IT BE LIKE,THAT SOMETIMES
ST20240525_131844_YOU CAN DO HARD THINGS,YOU CAN DO,HARD THINGS
ST20240525_131845_IT IS WHAT IT IS,IT IS WHAT,IT IS
ST20240525_131846_FAITH IS GREATER THAN FEAR,FAITH IS,GREATER THAN FEAR
ST20240525_131847_IM SILENTLY JUDGING YOUR WIRING,I'M SILENTLY,JUDGING YOUR WIRING
ST20240525_131848_SLOW DOWN WE GET PAID BY THE HOUR,SLOW DOWN WE GET,PAID BY THE HOUR
ST20240525_131849_YOURE ABOUT AS USEFUL AS A WHITE CRAYON,YOU'RE ABOUT AS USEFUL,AS A WHITE CRAYON
ST20240525_131850_CHANGING LIVES ONE SESSION AT A TIME,CHANGING LIVES ONE,SESSION AT A TIME
ST20240525_131851_PRACTICE RANDOM ACTS OF KINDNESS,PRACTICE RANDOM,ACTS OF KINDNESS
ST20240525_131852_LAND OF THE FREE BECAUSE OF THE BRAVE,LAND OF THE FREE,BECAUSE OF THE BRAVE
ST20240525_131853_DEMAND EVIDENCE THINK CRITICALLY,DEMAND EVIDENCE,THINK CRITICALLY
ST20240525_131854_PLEASE BE PATIENT I HAVE AUTISM,PLEASE BE PATIENT,I HAVE AUTISM
ST20240525_131855_I AM DELIBERATE AND AFRAID OF NOTHING,I AM DELIBERATE AND,AFRAID OF NOTHING
ST20240525_131856_MAKE HEAVEN CROWDED,MAKE HEAVEN,CROWDED
ST20240525_131857_FAKE IT TILL YOU MAKE IT,FAKE IT TILL,YOU MAKE IT
ST20240525_131858_ASK ME ABOUT MY EXPLOSIVE DIARRHEA,ASK ME ABOUT MY,EXPLOSIVE DIARRHEA
ST20240525_131859_HONK IF YOU HATE BIDEN,HONK IF YOU,HATE BIDEN
ST20240525_131900_DID YOU TOUCH MY DRUM SET,DID YOU TOUCH,MY DRUM SET?
ST20240525_131901_DONT HONK AT ME MY DADS IS DEAD,DON'T HONK AT ME,MY DADS IS DEAD
ST20240525_131902_THIS MACHINE KILLS FASCISTS,THIS MACHINE,KILLS FASCISTS
ST20240525_131903_DONT MAKE ME USE MY LIFEGUARD VOICE,DON'T MAKE ME USE MY,LIFEGUARD VOICE!
ST20240525_131904_DONT HONK AT ME IM JUST A LITTLE GUY,DON'T HONK AT ME I'M,JUST A LITTLE GUY
ST20240525_131905_EARL IS IN THE TRUNK,EARL IS IN,THE TRUNK
ST20240525_131906_COWBOYS BUTTS DRIVE ME NUTS,COWBOYS BUTTS,DRIVE ME NUTS
ST20240525_131907_YOU JUST GOT PASSED BY A TOASTER,YOU JUST GOT,PASSED BY A TOASTER
ST20240525_131908_RELAX NOTHING IS UNDER CONTROL,RELAX NOTHING IS,UNDER CONTROL
ST20240525_131909_I BRAKE FOR AMERICAS ONLY NATIVE MARSUPIAL,I BRAKE FOR AMERICA'S,ONLY NATIVE MARSUPIAL
ST20240525_131910_WHAT ARE YOU GRATEFUL FOR,WHAT ARE YOU,GRATEFUL FOR?
ST20240525_131911_WAG MORE BARK LESS,WAG MORE,BARK LESS
ST20240525_131912_MY EMOTIONAL SUPPORT BEVERAGE,MY EMOTIONAL,SUPPORT BEVERAGE
ST20240525_131914_HONK IF YOURE A SILLY GOOSE,HONK IF YOU'RE A,SILLY GOOSE
ST20240525_131915_PLEASE BE PATIENT I HAVE TOURETTES,PLEASE BE PATIENT I,HAVE TOURETTE'S
ST20240525_131916_GET YOUR SHIT TOGETHER,GET YOUR SHIT,TOGETHER
ST20240525_131917_HARM REDUCTION SAVES LIVES,HARM REDUCTION,SAVES LIVES
ST20240525_131918_DADDYS MONEY BUT IM DADDY,DADDY'S MONEY,BUT I'M DADDY
ST20240525_131919_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
ST20240525_131920_TRUMP WON GET OVER IT,TRUMP WON,GET OVER IT
ST20240525_131921_HI I DONT CARE THANKS,HI. I DON'T,CARE. THANKS
ST20240525_131922_JUST A GIRL WHO LIKES REFORMED THEOLOGY,JUST A GIRL WHO LIKES,REFORMED THEOLOGY
ST20240525_131923_YOUR SECRET IS SAFE WITH MY INDIFFERENCE,YOUR SECRET IS SAFE,WITH MY INDIFFERENCE
ST20240525_131924_I HAVE TO RETURN SOME VIDEO TAPES,I HAVE TO RETURN,SOME VIDEO TAPES
ST20240525_131925_I BECAME A POSTAL WORKER FOR THE MONEY AND FAME,I BECAME A POSTAL WORKER,FOR THE MONEY AND FAME
ST20240525_131926_YOURE A DAISY IF YOU DO,YOU'RE A DAISY,IF YOU DO
ST20240525_131927_NO ONES TREADING ON YOU SWEETIE,NO ONE'S TREADING,ON YOU SWEETIE
ST20240525_131928_DONT BELIEVE EVERYTHING YOU THINK,DON'T BELIEVE,EVERYTHING YOU THINK
ST20240525_131929_DRIVER PICKS THE MUSIC SHOTGUN SHUTS HIS CAKEHOLE,DRIVER PICKS THE MUSIC,SHOTGUN SHUTS HIS CAKEHOLE
ST20240525_131930_STOP SCREAMING IM SCARED TOO,STOP SCREAMING,I'M SCARED TOO!
ST20240525_131931_I BRAKE FOR AMERICAS ONLY NATIVE MARSUPIAL,I BRAKE FOR AMERICA'S,ONLY NATIVE MARSUPIAL
ST20240525_131932_IF YOU HONK AT ME I WILL KILL MYSELF,IF YOU HONK AT ME I,WILL KILL MYSELF
ST20240525_131933_IF NOT NOW THEN WHEN,IF NOT NOW,THEN WHEN
ST20240525_131934_PLEASE BE PATIENT I'M LEGALLY BLIND,PLEASE BE PATIENT,I'M LEGALLY BLIND
ST20240525_131935_TRASH CAN NOT TRASH CANNOT,"TRASH CAN, NOT",TRASH CANNOT
ST20240525_131936_THIS IS MY PRIDE FLAG,THIS IS MY,PRIDE FLAG
ST20240525_131937_DONT HONK AT ME IM CRYING ALREADY,DON'T HONK AT ME,I'M CRYING ALREADY
ST20240525_131938_I HAVE TO RETURN SOME VIDEO TAPES,I HAVE TO RETURN,SOME VIDEO TAPES
ST20240525_131939_NO WIFE HAPPY LIFE,NO WIFE,HAPPY LIFE
ST20240525_131940_I DONT KNOW I JUST WORK HERE,I DON'T KNOW I,JUST WORK HERE
ST20240525_131941_BLOOD FOR THE BLOOD GOD,BLOOD FOR THE,BLOOD GOD
ST20240525_131942_DONT HONK AT ME MY TUMMY HURTS,DON'T HONK AT ME,MY TUMMY HURTS
ST20240525_131943_FROM BLOOD AND ASH WE WILL RISE,FROM BLOOD AND,"ASH, WE WILL RISE"
ST20240525_131944_WELL BEHAVED WOMEN RARELY MAKE HISTORY,WELL BEHAVED WOMEN,RARELY MAKE HISTORY
ST20240525_131945_HONK IF YOU DONT EXIST,HONK IF YOU,DON'T EXIST
ST20240525_131946_WORLDS OKAYEST BROTHER,WORLD'S,OKAYEST BROTHER
ST20240525_131947_WORLDS OKAYEST FIREFIGHTER,WORLD'S OKAYEST,FIREFIGHTER
ST20240525_131948_YOU ARE NOT IMMUNE TO PROPAGANDA,YOU ARE NOT IMMUNE,TO PROPAGANDA
ST20240525_131949_KEEP YOUR HEELS HEAD AND STANDARDS HIGH,"KEEP YOUR HEELS, HEAD,",AND STANDARDS HIGH.
ST20240525_131950_PIRATE OF THE CAR I BE IN,PIRATE OF THE,CAR I BE IN
ST20240525_131951_HONK IF YOU LOVE DYING AND BEING DEAD,HONK IF YOU LOVE,DYING AND BEING DEAD
ST20240525_131952_YOU CAN NEVER HAVE TOO MANY SANCTUARY,YOU CAN NEVER HAVE,TOO MANY SANCTUARY
ST20240525_131953_IM TIRED OF THIS GRANDPA,I'M TIRED OF,THIS GRANDPA
ST20240525_131954_SPEAK SOFTLY AND CARRY A BIG STICK,SPEAK SOFTLY AND,CARRY A BIG STICK
ST20240525_131955_THATS WHAT SHE SAID,THAT'S WHAT,SHE SAID
ST20240525_131956_IM SO SORRY IM DOING MY BEST,I'M SO SORRY I'M,DOING MY BEST
ST20240525_131957_TOGETHER WE WILL MAKE AMERICA GREAT AGAIN,TOGETHER WE WILL MAKE,AMERICA GREAT AGAIN
ST20240525_131958_I LIKE BIG BOOKS AND I CANNOT LIE,I LIKE BIG BOOKS,AND I CANNOT LIE
ST20240525_131959_NOTHING BUT THE RAIN,NOTHING BUT,THE RAIN
ST20240525_132000_DON'T BE SO HARD ON YOURSELF,DON'T BE SO,HARD ON YOURSELF
ST20240525_132001_DONT FOLLOW ME I DO STUPID THINGS,DON'T FOLLOW ME I,DO STUPID THINGS
ST20240525_132002_WORLDS OKAYEST IT SUPPORT,WORLD'S OKAYEST,IT SUPPORT
ST20240525_132003_PLEASE BE PATIENT BLONDE DRIVER,PLEASE BE PATIENT,BLONDE DRIVER
ST20240525_132004_YOU MY FRIEND SHOULD HAVE BEEN SWALLOWED,YOU MY FRIEND SHOULD,HAVE BEEN SWALLOWED
ST20240525_132005_WORLDS OKAYEST ELECTRICIAN,WORLD'S OKAYEST,ELECTRICIAN
