SKU,Name1,Name2
ST20240527_202447_DONT HONK AT ME IM TRYING MY BEST,DON'T HONK AT ME,I'M TRYING MY BEST
ST20240527_202448_I USED TO BE COOL,I USED TO,BE COOL
ST20240527_202449_GET BUSY LIVING OR GET BUSY DYING,GET BUSY LIVING OR,GET BUSY DYING
ST20240527_202450_IM WEIRD IM A WEIRDO,"I'M WEIRD,",I'M A WEIRDO
ST20240527_202451_EMPOWERED WOMEN EMPOWER WOMEN,EMPOWERED WOMEN,EMPOWER WOMEN
ST20240527_202452_WOULD YOU LOVE ME IF I WAS A WORM,WOULD YOU LOVE ME,IF I WAS A WORM?
ST20240527_202453_PLEASE DO NOT HIT ME IDK HOW CAR WORKS,PLEASE DO NOT HIT ME,IDK HOW CAR WORKS
ST20240527_202454_PLEASE BE PATIENT DRIVER WITH AUTISM,PLEASE BE PATIENT,DRIVER WITH AUTISM
ST20240527_202455_MEASURE ONCE CUSS TWICE,MEASURE ONCE,CUSS TWICE
ST20240527_202456_WORLDS OKAYEST DRUMMER,WORLD'S,OKAYEST DRUMMER
ST20240527_202457_DRIVER PICKS THE MUSIC SHOTGUN SHUTS HIS CAKEHOLE,"DRIVER PICKS THE MUSIC,",SHOTGUN SHUTS HIS CAKEHOLE
ST20240527_202458_IM NOT IN YOUR HURRY,I'M NOT IN,YOUR HURRY!
ST20240527_202459_COMMIT TAX FRAUD,COMMIT TAX,FRAUD
ST20240527_202500_YOU JUST GOT PASSED BY A GRANDPA,YOU JUST GOT,PASSED BY A GRANDPA
ST20240527_202501_DONT BE A DICK,DON'T BE,A DICK
ST20240527_202502_I DONT GIVE A DUCK,I DON'T GIVE,A DUCK!
ST20240527_202503_PLEASE BE PATIENT WOMAN DRIVER,PLEASE BE PATIENT,WOMAN DRIVER
ST20240527_202504_MAKE AMERICA A SHITHOLE AGAIN VOTE DEMOCRAT,MAKE AMERICA A SHITHOLE,AGAIN VOTE DEMOCRAT
ST20240527_202505_MAKE AMERICA KIND AGAIN,MAKE AMERICA,KIND AGAIN
ST20240527_202506_THICK THIGHS SAVE LIVES,THICK THIGHS,SAVE LIVES
ST20240527_202507_CARPENTER BECAUSE BADASS MIRACLE WORKER ISNT AN OFFICIAL JOB TITLE,CARPENTER BECAUSE BADASS MIRACLE,WORKER ISN'T AN OFFICIAL JOB TITLE
ST20240527_202508_REMEMBER WHO YOU ARE,REMEMBER WHO,YOU ARE
ST20240527_202509_KEEP HONKING BUDDY IM RELOADING,KEEP HONKING BUDDY,I'M RE-LOADING!
ST20240527_202510_THE CLOSER YOU GET THE SLOWER I DRIVE,THE CLOSER YOU GET,THE SLOWER I DRIVE
ST20240527_202511_PRAY MORE WORRY LESS,PRAY MORE,WORRY LESS
ST20240527_202512_DONT TOUCH MY DRONE,DON'T TOUCH,MY DRONE
ST20240527_202513_SKATEBOARDING IS NOT A CRIME,SKATEBOARDING IS,NOT A CRIME
ST20240527_202514_HUNGRY DOGS RUN FASTER,HUNGRY DOGS,RUN FASTER
ST20240527_202515_IT NEVER HURTS TO KEEP LOOKING FOR SUNSHINE,IT NEVER HURTS TO KEEP,LOOKING FOR SUNSHINE
ST20240527_202516_HONK IF YOU POOPED TODAY,HONK IF YOU,POOPED TODAY
ST20240527_202518_YOU CAN NEVER HAVE TOO MANY LAWNMOWERS,YOU CAN NEVER HAVE,TOO MANY LAWNMOWERS
ST20240527_202519_GOD SAID IT I BELIEVE IT THAT SETTLES IT,GOD SAID IT I BELIEVE,IT THAT SETTLES IT
ST20240527_202520_HUG ME IF YOU CAN,HUG ME IF,YOU CAN
ST20240527_202521_I CANT FIX STUPID BUT I CAN HELP YOU SEE IT,I CAN'T FIX STUPID BUT I,CAN HELP YOU SEE IT
